id,type,title,price,currency,tax_code_candidate,source_original,booth_url,github_release_url,product_name,description_check,metadata_ready,product_payload_sha256,price_payload_sha256,payment_link_payload_sha256,product_idempotency_key,price_idempotency_key,payment_link_idempotency_key,live_dry_run_ready,notes
dake_launcher,app,Dakeランチャー,300,jpy,txcd_10202003,01_apps/DAKE_Launcher/ORIGINAL.md,https://peakheadz.booth.pm/items/8447994,https://github.com/yukiPHZ/dake-series/releases/tag/DAKE_Launcher_v1.0.0,Dakeランチャー,ok,yes,7ada5064b9a2b7578ce2f3cf47b1b3638d46d93ed59117dc4d7f0717f046d401,4433531cf545f4cc01d97ff6f7b09f4dc5440067a08b5b422d1ab86c863ed674,afae9ea6af1465fb39b27aa0200e90c6972a5b81228306857a70fa94ea2189cf,dake-live-product-v1-dake_launcher-7ada5064b9a2,dake-live-price-v1-dake_launcher-4433531cf545,dake-live-link-v1-dake_launcher-afae9ea6af14,yes,ok
dake_mail_allstaff,app,Dake全社員メール起動,300,jpy,txcd_10202003,01_apps/DAKE_Mail_AllStaff/ORIGINAL.md,https://peakheadz.booth.pm/items/8447998,https://github.com/yukiPHZ/dake-series/releases/tag/DAKE_Mail_AllStaff_v1.0.0,Dake全社員メール起動,ok,yes,1482cd83ac63160dbc8fb0d5168901b281a041beac4db58cd18a28495663fd25,0c86c36ce5caa6fda8d1f582eea1dc3b8c90748d07aaf7b3a0c4451f39a65ed0,30903139d1d1287482d324bedf64414e1edfc4b481385121180a1c83ffde311e,dake-live-product-v1-dake_mail_allstaff-1482cd83ac63,dake-live-price-v1-dake_mail_allstaff-0c86c36ce5ca,dake-live-link-v1-dake_mail_allstaff-30903139d1d1,yes,ok
dake_mail_kikuta,app,Dake菊田メール,300,jpy,txcd_10202003,01_apps/DAKE_Mail_Kikuta/ORIGINAL.md,https://peakheadz.booth.pm/items/8448003,https://github.com/yukiPHZ/dake-series/releases/tag/DAKE_Mail_Kikuta_v1.0.0,Dake菊田メール,ok,yes,8672d4595cc973bfe9b2b8fd0035343c0a5ea4359e1a7d1b2396077ae15fd4ab,3d7d0c6fb5239c35a5d710263504cafcb00f2821429bd84ea5ade4e02abd2987,000f27901ec302d31518384341b6eac60607f67333c975cd9320b1c98cff6625,dake-live-product-v1-dake_mail_kikuta-8672d4595cc9,dake-live-price-v1-dake_mail_kikuta-3d7d0c6fb523,dake-live-link-v1-dake_mail_kikuta-000f27901ec3,yes,ok
dake_mail_list,app,Dakeメールリスト,300,jpy,txcd_10202003,01_apps/DAKE_Mail_List/ORIGINAL.md,https://peakheadz.booth.pm/items/8448014,https://github.com/yukiPHZ/dake-series/releases/tag/DAKE_Mail_List_v1.0.0,Dakeメールリスト,ok,yes,c610f81df29f6f5e3ed3e74110b05ac6190caa9ab88fe9abaf593196384d9eab,b2167e85a43a86e4a5ad23f0eac859dca77fabe02e7b952e69df25a260f4f85f,cd3b5dccea533f5fc30e18fca24aa2547cf28579a6369f828ee773716ccd6d63,dake-live-product-v1-dake_mail_list-c610f81df29f,dake-live-price-v1-dake_mail_list-b2167e85a43a,dake-live-link-v1-dake_mail_list-cd3b5dccea53,yes,ok
dake_mansion_schedule,app,マンション工程表,500,jpy,txcd_10202003,01_apps/DAKE_Mansion_Schedule/ORIGINAL.md,https://peakheadz.booth.pm/items/8448169,https://github.com/yukiPHZ/dake-series/releases/tag/DAKE_Mansion_Schedule_v1.0.0,マンション工程表,ok,yes,3e82d3cfedfaf15ca564fe12c52de99defad12971b267976b9bf2c371491da63,ef0c0b78b3a1db22257555bef7357603b00ce359eb3429cacb4c789264606c40,7a0b1157171617649996ac43f38a3e930b4809ef3d969b5cd0c73686081fb866,dake-live-product-v1-dake_mansion_schedule-3e82d3cfedfa,dake-live-price-v1-dake_mansion_schedule-ef0c0b78b3a1,dake-live-link-v1-dake_mansion_schedule-7a0b11571716,yes,ok
dake_pdf_checkstamp,app,Dake確認印,500,jpy,txcd_10202003,01_apps/DAKE_PDF_CheckStamp/ORIGINAL.md,https://peakheadz.booth.pm/items/8448176,https://github.com/yukiPHZ/dake-series/releases/tag/DAKE_PDF_CheckStamp_v1.0.0,Dake確認印,ok,yes,2e6c897b35318ccf2ff2f6983f21ca17caf326fa17252738b8925e0006d9ecda,67bfe786f51fc349bca760e4e845e4e9e99e0dc722faca75a926da07e88cc355,a628c16668e59ddc1f8248ed8d9455293f39758df6bf32d37410390d9013d4ec,dake-live-product-v1-dake_pdf_checkstamp-2e6c897b3531,dake-live-price-v1-dake_pdf_checkstamp-67bfe786f51f,dake-live-link-v1-dake_pdf_checkstamp-a628c16668e5,yes,ok
dake_pdf_crop,app,DakePDFトリミング,500,jpy,txcd_10202003,01_apps/DAKE_PDF_Crop/ORIGINAL.md,https://peakheadz.booth.pm/items/8448182,https://github.com/yukiPHZ/dake-series/releases/tag/DAKE_PDF_Crop_v1.0.0,DakePDFトリミング,ok,yes,ee6068a4a4cbb170ca51ebc2f53bdf8b5033dba075f3458d6203b18268718e88,b7f33720696b51fc36d1d7a86758d998dec2f4624c079c4475c9f9c997f6c117,48e3bd4eaee77d7fd5fb94209bf989a1ab90853a5e701606bb1f140e8675f7d9,dake-live-product-v1-dake_pdf_crop-ee6068a4a4cb,dake-live-price-v1-dake_pdf_crop-b7f33720696b,dake-live-link-v1-dake_pdf_crop-48e3bd4eaee7,yes,ok
dake_pdf_lookhere,app,DakePDFここ見て,500,jpy,txcd_10202003,01_apps/DAKE_PDF_LookHere/ORIGINAL.md,https://peakheadz.booth.pm/items/8448187,https://github.com/yukiPHZ/dake-series/releases/tag/DAKE_PDF_LookHere_v1.0.0,DakePDFここ見て,ok,yes,c9f3632637fae586dceda0fd2088c56fa6e1385347ea6e65272b36cd05f5bf87,230c4df1bbfb95d8c8d675984a655683cbe425b4b7397d9eb535b4bf9e41a381,284b62182dfe8028b376d63290f2680bde6eecbb72a2fcc16400c55b233ae18e,dake-live-product-v1-dake_pdf_lookhere-c9f3632637fa,dake-live-price-v1-dake_pdf_lookhere-230c4df1bbfb,dake-live-link-v1-dake_pdf_lookhere-284b62182dfe,yes,ok
dake_pdf_marker,app,DakePDFマーカー,500,jpy,txcd_10202003,01_apps/DAKE_PDF_Marker/ORIGINAL.md,https://peakheadz.booth.pm/items/8448193,https://github.com/yukiPHZ/dake-series/releases/tag/DAKE_PDF_Marker_v1.0.0,DakePDFマーカー,ok,yes,2cd120f8fe0424e38615abf5f38f23dfbe067f86ddc657ba02d24fa69c3ed7b4,7f53d58f579dea627dd5cae715f8ef2648f372f6d8375c58a3684100e8942d60,1535c773bfc84fbf65bacffaf2e807a4670ebf63ae52e3a7a33af4e9f3be4ad2,dake-live-product-v1-dake_pdf_marker-2cd120f8fe04,dake-live-price-v1-dake_pdf_marker-7f53d58f579d,dake-live-link-v1-dake_pdf_marker-1535c773bfc8,yes,ok
dake_pdf_merge_mini,app,DakePDF結合mini,500,jpy,txcd_10202003,01_apps/DAKE_PDF_Merge_Mini/ORIGINAL.md,https://peakheadz.booth.pm/items/8448200,https://github.com/yukiPHZ/dake-series/releases/tag/DAKE_PDF_Merge_Mini_v1.0.0,DakePDF結合mini,ok,yes,627e9723c78a6a5b47ae03175f088850df24b7cc130e9aed0f5e69725cc2c0da,30dc5a3321733d425e7fc26fa6aa7cbd2be3d2054f107f73bb2c638ffe8f94dc,37d9ca9a540185c785482c647054a861cdc9a524b78928f54fad9433099ae71f,dake-live-product-v1-dake_pdf_merge_mini-627e9723c78a,dake-live-price-v1-dake_pdf_merge_mini-30dc5a332173,dake-live-link-v1-dake_pdf_merge_mini-37d9ca9a5401,yes,ok
dake_pdf_rename,app,DakePDFファイル名整理,500,jpy,txcd_10202003,01_apps/DAKE_PDF_Rename/ORIGINAL.md,https://peakheadz.booth.pm/items/8448204,https://github.com/yukiPHZ/dake-series/releases/tag/DAKE_PDF_Rename_v1.0.0,DakePDFファイル名整理,ok,yes,899e58b4da46ad03815a25de8b36896e631abb87980718d5397f5827c7698e81,6bb2b6a7fe9cc13ff2e4a91e426318663dac70d81869644ee1ad8278a4846b80,532a87632735cb15f44e0498b7d7dfb230641f3ae9841ce1b9576cce42afe0fb,dake-live-product-v1-dake_pdf_rename-899e58b4da46,dake-live-price-v1-dake_pdf_rename-6bb2b6a7fe9c,dake-live-link-v1-dake_pdf_rename-532a87632735,yes,ok
dake_pdf_reorder,app,DakePDFページ並べ替え,500,jpy,txcd_10202003,01_apps/DAKE_PDF_Reorder/ORIGINAL.md,https://peakheadz.booth.pm/items/8448206,https://github.com/yukiPHZ/dake-series/releases/tag/DAKE_PDF_Reorder_v1.0.0,DakePDFページ並べ替え,ok,yes,742c7a6728d0920a622539e08f9ca34343d80cad891943c3cb3f3e1926bec81f,e929f8ce8d48ae81a0be1f01a25ebcffe78314d75601462d3b2ed9c7c01c24a4,66e99771c7c6c1771896475264bb32cbe197748cc54675d66049a3e55a369158,dake-live-product-v1-dake_pdf_reorder-742c7a6728d0,dake-live-price-v1-dake_pdf_reorder-e929f8ce8d48,dake-live-link-v1-dake_pdf_reorder-66e99771c7c6,yes,ok
dake_pdf_splitone,app,DakePDF分割One,500,jpy,txcd_10202003,01_apps/DAKE_PDF_SplitOne/ORIGINAL.md,https://peakheadz.booth.pm/items/8448207,https://github.com/yukiPHZ/dake-series/releases/tag/DAKE_PDF_SplitOne_v1.0.0,DakePDF分割One,ok,yes,35bd4269728223be42e974e951f2c10831ccbc37dcdc854a0b4a2fd0dbd6b535,abd2ffbb77165b5e6e66dd060b40d981f01fbb7aa0a43bc484a9d0e5498176f2,ec04cfc94ca6f02d9b7e109ba7c73c8023888a983182a38fe91f18082d69eb61,dake-live-product-v1-dake_pdf_splitone-35bd42697282,dake-live-price-v1-dake_pdf_splitone-abd2ffbb7716,dake-live-link-v1-dake_pdf_splitone-ec04cfc94ca6,yes,ok
dake_pdf_splitselect,app,DakePDF分割Select,500,jpy,txcd_10202003,01_apps/DAKE_PDF_SplitSelect/ORIGINAL.md,https://peakheadz.booth.pm/items/8448213,https://github.com/yukiPHZ/dake-series/releases/tag/DAKE_PDF_SplitSelect_v1.0.0,DakePDF分割Select,ok,yes,41370f9033d1a18ebde4751664462b041824023c5653aee68cf3b52a3389aca3,008a6a6db11b6c379c598b01a1fe3c7608d8f13b47b3ab2d5cb2f942f3bc5cb5,7f87ffbedae5ae6c91a3eb13e5e49becb8823f1aae6d6d07334868762d160b84,dake-live-product-v1-dake_pdf_splitselect-41370f9033d1,dake-live-price-v1-dake_pdf_splitselect-008a6a6db11b,dake-live-link-v1-dake_pdf_splitselect-7f87ffbedae5,yes,ok
dake_pdf_toimages,app,DakePDFto画像,500,jpy,txcd_10202003,01_apps/DAKE_PDF_ToImages/ORIGINAL.md,https://peakheadz.booth.pm/items/8448216,https://github.com/yukiPHZ/dake-series/releases/tag/DAKE_PDF_ToImages_v1.0.0,DakePDFto画像,ok,yes,5690d497493cf95db74477848e02cf4c72891d7aaa53765f35c049d07036ed87,49a823f5e37970f0a7b57b530f062792c1c4e9b3494507ad8daa8f2f3b31cb13,ab326d1fd516de06ca8a446eb1dbe04a4db3f43fa8e9472037e61eea85217ccb,dake-live-product-v1-dake_pdf_toimages-5690d497493c,dake-live-price-v1-dake_pdf_toimages-49a823f5e379,dake-live-link-v1-dake_pdf_toimages-ab326d1fd516,yes,ok
dake_pdf_viewer,app,DakePDF見る,500,jpy,txcd_10202003,01_apps/DAKE_PDF_Viewer/ORIGINAL.md,https://peakheadz.booth.pm/items/8448219,https://github.com/yukiPHZ/dake-series/releases/tag/DAKE_PDF_Viewer_v1.0.0,DakePDF見る,ok,yes,a51f1781c40f77bea4b713f29cdd30daf2a2e946ab746c3314844392eb1aafb2,df00cb705ada38076e14e9f6c9fafda85c2f9bdda51a2ee62129e82927d51091,f750e6e61b9b52ecbe9cfc3ddfa333323e40fb36a24f38bb86f06fae0645a2a8,dake-live-product-v1-dake_pdf_viewer-a51f1781c40f,dake-live-price-v1-dake_pdf_viewer-df00cb705ada,dake-live-link-v1-dake_pdf_viewer-f750e6e61b9b,yes,ok
