id,type,title,price,currency,current_payment_status,booth_url,github_release_url,source_original,review_result,creation_method,price_check,tax_code_candidate,tax_code_review_required,stripe_product_name,metadata_ready,memo
dake_document_cover,app,Dake書類送付状,500,JPY,booth_only,https://peakheadz.booth.pm/items/8447586,https://github.com/yukiPHZ/dake-series/releases/tag/DAKE_Document_Cover-v1.0.0,01_apps/DAKE_Document_Cover/ORIGINAL.md,create,api_candidate,price_ok,txcd_10202003,no,Dake書類送付状,yes,"single DAKE app; API candidate with price, BOOTH URL, and source_original present; source memo: ready for Stripe Payment Link planning"
dake_fax_cover,app,DakeFAX送付状,500,JPY,booth_only,https://peakheadz.booth.pm/items/8447589,https://github.com/yukiPHZ/dake-series/releases/tag/DAKE_FAX_Cover_v1.0.0,01_apps/DAKE_FAX_Cover/ORIGINAL.md,create,api_candidate,price_ok,txcd_10202003,no,DakeFAX送付状,yes,"single DAKE app; API candidate with price, BOOTH URL, and source_original present; source memo: ready for Stripe Payment Link planning"
dake_folder_list,app,Dakeフォルダ一覧,300,JPY,booth_only,https://peakheadz.booth.pm/items/8447591,https://github.com/yukiPHZ/dake-series/releases/tag/DAKE_Folder_List_v1.0.0,01_apps/DAKE_Folder_List/ORIGINAL.md,create,api_candidate,price_ok,txcd_10202003,no,Dakeフォルダ一覧,yes,"single DAKE app; API candidate with price, BOOTH URL, and source_original present; source memo: ready for Stripe Payment Link planning"
dake_image_heictojpg,app,HEIC→JPG変換,500,JPY,booth_only,https://peakheadz.booth.pm/items/8447596,https://github.com/yukiPHZ/dake-series/releases/tag/DAKE_Image_HEICtoJPG_v1.0.0,01_apps/DAKE_Image_HEICtoJPG/ORIGINAL.md,create,api_candidate,price_ok,txcd_10202003,no,HEIC→JPG変換,yes,"single DAKE app; API candidate with price, BOOTH URL, and source_original present; source memo: ready for Stripe Payment Link planning"
dake_image_iphonetopc,app,Dake画像iPhoneToPC,500,JPY,booth_only,https://peakheadz.booth.pm/items/8447598,https://github.com/yukiPHZ/dake-series/releases/tag/DAKE_Image_iPhoneToPC_v1.0.0,01_apps/DAKE_Image_iPhoneToPC/ORIGINAL.md,create,api_candidate,price_ok,txcd_10202003,no,Dake画像iPhoneToPC,yes,"single DAKE app; API candidate with price, BOOTH URL, and source_original present; source memo: ready for Stripe Payment Link planning"
dake_image_receiver,app,DakeImage_Receiver,500,JPY,booth_only,https://peakheadz.booth.pm/items/8447600,https://github.com/yukiPHZ/dake-series/releases/tag/DAKE_Image_Receiver_v1.0.0,01_apps/DAKE_Image_Receiver/ORIGINAL.md,create,api_candidate,price_ok,txcd_10202003,no,DakeImage_Receiver,yes,"single DAKE app; API candidate with price, BOOTH URL, and source_original present; source memo: ready for Stripe Payment Link planning"
dake_image_topdf,app,DakeImageToPDF,500,JPY,booth_only,https://peakheadz.booth.pm/items/8397610,https://github.com/yukiPHZ/dake-series/releases/tag/DAKE_Image_ToPDF_v1.0.0,01_apps/DAKE_Image_ToPDF/ORIGINAL.md,create,api_candidate,price_ok,txcd_10202003,no,DakeImageToPDF,yes,"single DAKE app; API candidate with price, BOOTH URL, and source_original present; source memo: ready for Stripe Payment Link planning"
dake_launcher,app,Dakeランチャー,300,JPY,booth_only,https://peakheadz.booth.pm/items/8447994,https://github.com/yukiPHZ/dake-series/releases/tag/DAKE_Launcher_v1.0.0,01_apps/DAKE_Launcher/ORIGINAL.md,create,api_candidate,price_ok,txcd_10202003,no,Dakeランチャー,yes,"single DAKE app; API candidate with price, BOOTH URL, and source_original present; source memo: ready for Stripe Payment Link planning"
dake_mail_allstaff,app,Dake全社員メール起動,300,JPY,booth_only,https://peakheadz.booth.pm/items/8447998,https://github.com/yukiPHZ/dake-series/releases/tag/DAKE_Mail_AllStaff_v1.0.0,01_apps/DAKE_Mail_AllStaff/ORIGINAL.md,create,api_candidate,price_ok,txcd_10202003,no,Dake全社員メール起動,yes,"single DAKE app; API candidate with price, BOOTH URL, and source_original present; source memo: ready for Stripe Payment Link planning"
dake_mail_kikuta,app,Dake菊田メール,300,JPY,booth_only,https://peakheadz.booth.pm/items/8448003,https://github.com/yukiPHZ/dake-series/releases/tag/DAKE_Mail_Kikuta_v1.0.0,01_apps/DAKE_Mail_Kikuta/ORIGINAL.md,create,api_candidate,price_ok,txcd_10202003,no,Dake菊田メール,yes,"single DAKE app; API candidate with price, BOOTH URL, and source_original present; source memo: ready for Stripe Payment Link planning"
dake_mail_list,app,Dakeメールリスト,300,JPY,booth_only,https://peakheadz.booth.pm/items/8448014,https://github.com/yukiPHZ/dake-series/releases/tag/DAKE_Mail_List_v1.0.0,01_apps/DAKE_Mail_List/ORIGINAL.md,create,api_candidate,price_ok,txcd_10202003,no,Dakeメールリスト,yes,"single DAKE app; API candidate with price, BOOTH URL, and source_original present; source memo: ready for Stripe Payment Link planning"
dake_mansion_schedule,app,マンション工程表,500,JPY,booth_only,https://peakheadz.booth.pm/items/8448169,https://github.com/yukiPHZ/dake-series/releases/tag/DAKE_Mansion_Schedule_v1.0.0,01_apps/DAKE_Mansion_Schedule/ORIGINAL.md,create,api_candidate,price_ok,txcd_10202003,no,マンション工程表,yes,"single DAKE app; API candidate with price, BOOTH URL, and source_original present; source memo: ready for Stripe Payment Link planning"
dake_pdf_checkstamp,app,Dake確認印,500,JPY,booth_only,https://peakheadz.booth.pm/items/8448176,https://github.com/yukiPHZ/dake-series/releases/tag/DAKE_PDF_CheckStamp_v1.0.0,01_apps/DAKE_PDF_CheckStamp/ORIGINAL.md,create,api_candidate,price_ok,txcd_10202003,no,Dake確認印,yes,"single DAKE app; API candidate with price, BOOTH URL, and source_original present; source memo: ready for Stripe Payment Link planning"
dake_pdf_crop,app,DakePDFトリミング,500,JPY,booth_only,https://peakheadz.booth.pm/items/8448182,https://github.com/yukiPHZ/dake-series/releases/tag/DAKE_PDF_Crop_v1.0.0,01_apps/DAKE_PDF_Crop/ORIGINAL.md,create,api_candidate,price_ok,txcd_10202003,no,DakePDFトリミング,yes,"single DAKE app; API candidate with price, BOOTH URL, and source_original present; source memo: ready for Stripe Payment Link planning"
dake_pdf_lookhere,app,DakePDFここ見て,500,JPY,booth_only,https://peakheadz.booth.pm/items/8448187,https://github.com/yukiPHZ/dake-series/releases/tag/DAKE_PDF_LookHere_v1.0.0,01_apps/DAKE_PDF_LookHere/ORIGINAL.md,create,api_candidate,price_ok,txcd_10202003,no,DakePDFここ見て,yes,"single DAKE app; API candidate with price, BOOTH URL, and source_original present; source memo: ready for Stripe Payment Link planning"
dake_pdf_marker,app,DakePDFマーカー,500,JPY,booth_only,https://peakheadz.booth.pm/items/8448193,https://github.com/yukiPHZ/dake-series/releases/tag/DAKE_PDF_Marker_v1.0.0,01_apps/DAKE_PDF_Marker/ORIGINAL.md,create,api_candidate,price_ok,txcd_10202003,no,DakePDFマーカー,yes,"single DAKE app; API candidate with price, BOOTH URL, and source_original present; source memo: ready for Stripe Payment Link planning"
dake_pdf_merge_mini,app,DakePDF結合mini,500,JPY,booth_only,https://peakheadz.booth.pm/items/8448200,https://github.com/yukiPHZ/dake-series/releases/tag/DAKE_PDF_Merge_Mini_v1.0.0,01_apps/DAKE_PDF_Merge_Mini/ORIGINAL.md,create,api_candidate,price_ok,txcd_10202003,no,DakePDF結合mini,yes,"single DAKE app; API candidate with price, BOOTH URL, and source_original present; source memo: ready for Stripe Payment Link planning"
dake_pdf_overview_rename,app,DakePDF俯瞰名前変更,500,JPY,booth_only,https://peakheadz.booth.pm/items/8798555,https://github.com/yukiPHZ/dake-series/releases/tag/DAKE_PDF_OverviewRename_v1.0.0,01_apps/DAKE_PDF_OverviewRename/ORIGINAL.md,create,api_candidate,price_ok,txcd_10202003,no,DakePDF俯瞰名前変更,yes,"single DAKE app; API candidate with price, BOOTH URL, and source_original present; source memo: ready for Stripe Payment Link planning"
dake_pdf_rename,app,DakePDFファイル名整理,500,JPY,booth_only,https://peakheadz.booth.pm/items/8448204,https://github.com/yukiPHZ/dake-series/releases/tag/DAKE_PDF_Rename_v1.0.0,01_apps/DAKE_PDF_Rename/ORIGINAL.md,create,api_candidate,price_ok,txcd_10202003,no,DakePDFファイル名整理,yes,"single DAKE app; API candidate with price, BOOTH URL, and source_original present; source memo: ready for Stripe Payment Link planning"
dake_pdf_reorder,app,DakePDFページ並べ替え,500,JPY,booth_only,https://peakheadz.booth.pm/items/8448206,https://github.com/yukiPHZ/dake-series/releases/tag/DAKE_PDF_Reorder_v1.0.0,01_apps/DAKE_PDF_Reorder/ORIGINAL.md,create,api_candidate,price_ok,txcd_10202003,no,DakePDFページ並べ替え,yes,"single DAKE app; API candidate with price, BOOTH URL, and source_original present; source memo: ready for Stripe Payment Link planning"
