id,title,product_id,price_id,payment_link_id,payment_link_url,livemode,status,created_at,metadata
dake_mail_kikuta,Dake菊田メール,prod_Uhd5mAfIhktsx1,price_1TiDpdHrsJubFuDOyPjJj4xO,plink_1TiDpdHrsJubFuDOd37B5lUV,https://buy.stripe.com/4gM9ATas1cwvc4M4rv0gw0p,true,completed,2026-06-14T22:12:33+09:00,"{""booth_url"": ""https://peakheadz.booth.pm/items/8448003"", ""dake_item_id"": ""dake_mail_kikuta"", ""dake_type"": ""app"", ""github_release_url"": ""https://github.com/yukiPHZ/dake-series/releases/tag/DAKE_Mail_Kikuta_v1.0.0"", ""source_original"": ""01_apps/DAKE_Mail_Kikuta/ORIGINAL.md"", ""source_repo"": ""DAKE_series"", ""store_url"": ""https://store.dakeapp.com/product/?id=dake_mail_kikuta""}"
dake_mail_list,Dakeメールリスト,prod_Uhd5cwJrdaoVpw,price_1TiDpeHrsJubFuDOLkDPQRoL,plink_1TiDpeHrsJubFuDOyKfL52RK,https://buy.stripe.com/aFaeVd8jTdAz4Ck2jn0gw0q,true,completed,2026-06-14T22:12:33+09:00,"{""booth_url"": ""https://peakheadz.booth.pm/items/8448014"", ""dake_item_id"": ""dake_mail_list"", ""dake_type"": ""app"", ""github_release_url"": ""https://github.com/yukiPHZ/dake-series/releases/tag/DAKE_Mail_List_v1.0.0"", ""source_original"": ""01_apps/DAKE_Mail_List/ORIGINAL.md"", ""source_repo"": ""DAKE_series"", ""store_url"": ""https://store.dakeapp.com/product/?id=dake_mail_list""}"
dake_mansion_schedule,マンション工程表,prod_Uhd56gJWgVfp58,price_1TiDpfHrsJubFuDOTsiCSQ6L,plink_1TiDpfHrsJubFuDOpzC0hhLq,https://buy.stripe.com/bJefZh57H7cb7OwcY10gw0r,true,completed,2026-06-14T22:12:33+09:00,"{""booth_url"": ""https://peakheadz.booth.pm/items/8448169"", ""dake_item_id"": ""dake_mansion_schedule"", ""dake_type"": ""app"", ""github_release_url"": ""https://github.com/yukiPHZ/dake-series/releases/tag/DAKE_Mansion_Schedule_v1.0.0"", ""source_original"": ""01_apps/DAKE_Mansion_Schedule/ORIGINAL.md"", ""source_repo"": ""DAKE_series"", ""store_url"": ""https://store.dakeapp.com/product/?id=dake_mansion_schedule""}"
dake_pdf_checkstamp,Dake確認印,prod_Uhd5wUxGsaolHq,price_1TiDpgHrsJubFuDO4UTTuDht,plink_1TiDpgHrsJubFuDOAUIW8vJh,https://buy.stripe.com/fZu7sLfMl1RRb0I2jn0gw0s,true,completed,2026-06-14T22:12:33+09:00,"{""booth_url"": ""https://peakheadz.booth.pm/items/8448176"", ""dake_item_id"": ""dake_pdf_checkstamp"", ""dake_type"": ""app"", ""github_release_url"": ""https://github.com/yukiPHZ/dake-series/releases/tag/DAKE_PDF_CheckStamp_v1.0.0"", ""source_original"": ""01_apps/DAKE_PDF_CheckStamp/ORIGINAL.md"", ""source_repo"": ""DAKE_series"", ""store_url"": ""https://store.dakeapp.com/product/?id=dake_pdf_checkstamp""}"
dake_pdf_crop,DakePDFトリミング,prod_Uhd5gyDOL4PjAz,price_1TiDphHrsJubFuDOL0QeBrDI,plink_1TiDphHrsJubFuDOzXeLYE0x,https://buy.stripe.com/00w7sL43D6877Ow4rv0gw0t,true,completed,2026-06-14T22:12:33+09:00,"{""booth_url"": ""https://peakheadz.booth.pm/items/8448182"", ""dake_item_id"": ""dake_pdf_crop"", ""dake_type"": ""app"", ""github_release_url"": ""https://github.com/yukiPHZ/dake-series/releases/tag/DAKE_PDF_Crop_v1.0.0"", ""source_original"": ""01_apps/DAKE_PDF_Crop/ORIGINAL.md"", ""source_repo"": ""DAKE_series"", ""store_url"": ""https://store.dakeapp.com/product/?id=dake_pdf_crop""}"
dake_pdf_lookhere,DakePDFここ見て,prod_Uhd5GJYIzGzUIK,price_1TiDpiHrsJubFuDOYkBLPIJ0,plink_1TiDpiHrsJubFuDOdvYG3pn6,https://buy.stripe.com/bJe9AT6bL2VV0m46zD0gw0u,true,completed,2026-06-14T22:12:33+09:00,"{""booth_url"": ""https://peakheadz.booth.pm/items/8448187"", ""dake_item_id"": ""dake_pdf_lookhere"", ""dake_type"": ""app"", ""github_release_url"": ""https://github.com/yukiPHZ/dake-series/releases/tag/DAKE_PDF_LookHere_v1.0.0"", ""source_original"": ""01_apps/DAKE_PDF_LookHere/ORIGINAL.md"", ""source_repo"": ""DAKE_series"", ""store_url"": ""https://store.dakeapp.com/product/?id=dake_pdf_lookhere""}"
dake_pdf_marker,DakePDFマーカー,prod_Uhd5DtqqJf1JNm,price_1TiDpjHrsJubFuDO62JvdruR,plink_1TiDpjHrsJubFuDOqaVX71bo,https://buy.stripe.com/fZu8wP2ZzeED3yg3nr0gw0v,true,completed,2026-06-14T22:12:33+09:00,"{""booth_url"": ""https://peakheadz.booth.pm/items/8448193"", ""dake_item_id"": ""dake_pdf_marker"", ""dake_type"": ""app"", ""github_release_url"": ""https://github.com/yukiPHZ/dake-series/releases/tag/DAKE_PDF_Marker_v1.0.0"", ""source_original"": ""01_apps/DAKE_PDF_Marker/ORIGINAL.md"", ""source_repo"": ""DAKE_series"", ""store_url"": ""https://store.dakeapp.com/product/?id=dake_pdf_marker""}"
dake_pdf_merge_mini,DakePDF結合mini,prod_Uhd5aqw9aGElhq,price_1TiDpkHrsJubFuDOjFrncTdh,plink_1TiDpkHrsJubFuDOxLGGd0G6,https://buy.stripe.com/00w6oH57H6870m48HL0gw0w,true,completed,2026-06-14T22:12:33+09:00,"{""booth_url"": ""https://peakheadz.booth.pm/items/8448200"", ""dake_item_id"": ""dake_pdf_merge_mini"", ""dake_type"": ""app"", ""github_release_url"": ""https://github.com/yukiPHZ/dake-series/releases/tag/DAKE_PDF_Merge_Mini_v1.0.0"", ""source_original"": ""01_apps/DAKE_PDF_Merge_Mini/ORIGINAL.md"", ""source_repo"": ""DAKE_series"", ""store_url"": ""https://store.dakeapp.com/product/?id=dake_pdf_merge_mini""}"
dake_pdf_rename,DakePDFファイル名整理,prod_Uhd5oCYpooUSgL,price_1TiDplHrsJubFuDOLteJDJLu,plink_1TiDplHrsJubFuDOST3q8UMx,https://buy.stripe.com/aFa7sLgQp9kj1q85vz0gw0x,true,completed,2026-06-14T22:12:33+09:00,"{""booth_url"": ""https://peakheadz.booth.pm/items/8448204"", ""dake_item_id"": ""dake_pdf_rename"", ""dake_type"": ""app"", ""github_release_url"": ""https://github.com/yukiPHZ/dake-series/releases/tag/DAKE_PDF_Rename_v1.0.0"", ""source_original"": ""01_apps/DAKE_PDF_Rename/ORIGINAL.md"", ""source_repo"": ""DAKE_series"", ""store_url"": ""https://store.dakeapp.com/product/?id=dake_pdf_rename""}"
dake_pdf_reorder,DakePDFページ並べ替え,prod_Uhd5sSdvKNBR7U,price_1TiDpmHrsJubFuDOOaQjGMjP,plink_1TiDpmHrsJubFuDO2BD0UHBL,https://buy.stripe.com/14AcN5fMldAzc4Mgad0gw0y,true,completed,2026-06-14T22:12:33+09:00,"{""booth_url"": ""https://peakheadz.booth.pm/items/8448206"", ""dake_item_id"": ""dake_pdf_reorder"", ""dake_type"": ""app"", ""github_release_url"": ""https://github.com/yukiPHZ/dake-series/releases/tag/DAKE_PDF_Reorder_v1.0.0"", ""source_original"": ""01_apps/DAKE_PDF_Reorder/ORIGINAL.md"", ""source_repo"": ""DAKE_series"", ""store_url"": ""https://store.dakeapp.com/product/?id=dake_pdf_reorder""}"
