app,display_name,status,ok,release_json,release_stage,release_reason,video_local_path,video_exists,demo_mp4,demo_webm,screenshot,booth_thumbnail,social_release_path,source_kind,source_path,original_missing,meta_derivative_mismatch,actions
DAKE_Screen_WebP,DakeScreen_WebP,available,False,False,,,,False,False,False,True,True,,original,01_apps/DAKE_Screen_WebP/ORIGINAL.md,False,,create release_artifacts/release.json with tools/release_capture.py; record video_local_path in release.json; save demo.mp4 or demo.webm
DAKE_Screenshot_Print,Dakeスクショ印刷,available,False,False,,,,False,False,False,True,True,,original,01_apps/DAKE_Screenshot_Print/ORIGINAL.md,False,,create release_artifacts/release.json with tools/release_capture.py; record video_local_path in release.json; save demo.mp4 or demo.webm
DAKE_Sticky_Memo,付箋メモ,available,False,False,,,,False,False,False,True,True,,original,01_apps/DAKE_Sticky_Memo/ORIGINAL.md,False,,create release_artifacts/release.json with tools/release_capture.py; record video_local_path in release.json; save demo.mp4 or demo.webm
DAKE_Time_AdvancedTimer,Dakeアドバンスドタイマー,available,False,False,,,,False,False,False,True,True,,original,01_apps/DAKE_Time_AdvancedTimer/ORIGINAL.md,False,,create release_artifacts/release.json with tools/release_capture.py; record video_local_path in release.json; save demo.mp4 or demo.webm
DAKE_TwoPerson_Memo,Dake二人メモ,available,False,False,,,,False,False,False,True,True,,original,01_apps/DAKE_TwoPerson_Memo/ORIGINAL.md,False,,create release_artifacts/release.json with tools/release_capture.py; record video_local_path in release.json; save demo.mp4 or demo.webm
DAKE_Video_Shorts_Cut,Dakeショート切り出し,available,False,False,,,,False,False,False,True,True,,original,01_apps/DAKE_Video_Shorts_Cut/ORIGINAL.md,False,,create release_artifacts/release.json with tools/release_capture.py; record video_local_path in release.json; save demo.mp4 or demo.webm
DAKE_Wake_Brainz,DAKE_Wake_Brainz,draft,False,False,,,,False,False,False,False,False,,readme_fallback,01_apps/DAKE_Wake_Brainz/README.md,True,,original_missing; skipped status=draft
DAKE_Web_Dashboard,DAKE Web Dashboard,frozen,False,False,,,,False,False,False,False,False,,readme_fallback,01_apps/DAKE_Web_Dashboard/README.md,True,,original_missing; skipped status=frozen
DAKE_Web_Index,DAKE Web Index,internal,False,False,,,,False,False,False,False,False,,readme_fallback,01_apps/DAKE_Web_Index/README.md,True,,original_missing; skipped status=internal
DAKE_Work_Calendar,Dake工程カレンダー,available,False,False,,,,False,False,False,True,True,,original,01_apps/DAKE_Work_Calendar/ORIGINAL.md,False,,create release_artifacts/release.json with tools/release_capture.py; record video_local_path in release.json; save demo.mp4 or demo.webm
DAKE_Year_Age,Dake築年数,available,True,True,complete,,release_artifacts/demo.mp4,True,True,False,True,True,release_artifacts/social_release.json,original,01_apps/DAKE_Year_Age/ORIGINAL.md,False,,
DAKE_Year_Notice,Dake今年の注意点,available,False,False,,,,False,False,False,True,True,,original,01_apps/DAKE_Year_Notice/ORIGINAL.md,False,,create release_artifacts/release.json with tools/release_capture.py; record video_local_path in release.json; save demo.mp4 or demo.webm
DAKE_Yesterday_Task_Memo,Dake昨日タスクメモ,available,False,False,,,,False,False,False,True,True,,original,01_apps/DAKE_Yesterday_Task_Memo/ORIGINAL.md,False,,create release_artifacts/release.json with tools/release_capture.py; record video_local_path in release.json; save demo.mp4 or demo.webm
DAKE_Yukiz_KadouChu,Dakeユキズ稼働中,draft,False,False,,,,False,False,False,False,False,,readme_fallback,01_apps/DAKE_Yukiz_KadouChu/README.md,True,,original_missing; skipped status=draft
DAKE_YukizBlog_Post,YUKIZ BLOG 投稿DAKE,internal,False,False,,,,False,False,False,False,False,,readme_fallback,01_apps/DAKE_YukizBlog_Post/README.md,True,,original_missing; skipped status=internal
