app,display_name,status,ok,social_draft_ready,social_buffer_ready,social_posts,social_posts_valid,forbidden_links,social_release,social_stage,social_reason,buffer_x_id,buffer_threads_id,buffer_instagram_id,requested_channels,source_kind,source_path,original_missing,meta_derivative_mismatch,actions
DAKE_PDF_Viewer,DakePDF見る,available,False,False,False,False,False,False,False,,,,,,"x,threads,instagram",original,01_apps/DAKE_PDF_Viewer/ORIGINAL.md,False,,generate social_posts.md with tools/release_social.py; generate dry-run social_release.json with tools/release_social.py; x Buffer ID missing; threads Buffer ID missing; instagram Buffer ID missing
DAKE_Price_Apportionment,Dake価格按分,available,False,False,False,False,False,False,False,,,,,,"x,threads,instagram",original,01_apps/DAKE_Price_Apportionment/ORIGINAL.md,False,,generate social_posts.md with tools/release_social.py; generate dry-run social_release.json with tools/release_social.py; x Buffer ID missing; threads Buffer ID missing; instagram Buffer ID missing
DAKE_Price_FixedTax,Dake固都税計算,available,False,False,False,False,False,False,False,,,,,,"x,threads,instagram",original,01_apps/DAKE_Price_FixedTax/ORIGINAL.md,False,,generate social_posts.md with tools/release_social.py; generate dry-run social_release.json with tools/release_social.py; x Buffer ID missing; threads Buffer ID missing; instagram Buffer ID missing
DAKE_QPSC_Dashboard,QPCS Dashboard,internal,False,False,False,False,False,False,False,,,,,,"x,threads,instagram",readme_fallback,01_apps/DAKE_QPSC_Dashboard/README.md,True,,original_missing; skipped status=internal
DAKE_Reform_Progress,リフォーム進捗管理,available,False,False,False,False,False,False,False,,,,,,"x,threads,instagram",original,01_apps/DAKE_Reform_Progress/ORIGINAL.md,False,,generate social_posts.md with tools/release_social.py; generate dry-run social_release.json with tools/release_social.py; x Buffer ID missing; threads Buffer ID missing; instagram Buffer ID missing
DAKE_Screen_WebP,DakeScreen_WebP,available,False,False,False,False,False,False,False,,,,,,"x,threads,instagram",original,01_apps/DAKE_Screen_WebP/ORIGINAL.md,False,,generate social_posts.md with tools/release_social.py; generate dry-run social_release.json with tools/release_social.py; x Buffer ID missing; threads Buffer ID missing; instagram Buffer ID missing
DAKE_Screenshot_Print,Dakeスクショ印刷,available,False,False,False,False,False,False,False,,,,,,"x,threads,instagram",original,01_apps/DAKE_Screenshot_Print/ORIGINAL.md,False,,generate social_posts.md with tools/release_social.py; generate dry-run social_release.json with tools/release_social.py; x Buffer ID missing; threads Buffer ID missing; instagram Buffer ID missing
DAKE_Sticky_Memo,付箋メモ,available,False,False,False,False,False,False,False,,,,,,"x,threads,instagram",original,01_apps/DAKE_Sticky_Memo/ORIGINAL.md,False,,generate social_posts.md with tools/release_social.py; generate dry-run social_release.json with tools/release_social.py; x Buffer ID missing; threads Buffer ID missing; instagram Buffer ID missing
DAKE_Time_AdvancedTimer,Dakeアドバンスドタイマー,available,False,False,False,False,False,False,False,,,,,,"x,threads,instagram",original,01_apps/DAKE_Time_AdvancedTimer/ORIGINAL.md,False,,generate social_posts.md with tools/release_social.py; generate dry-run social_release.json with tools/release_social.py; x Buffer ID missing; threads Buffer ID missing; instagram Buffer ID missing
DAKE_TwoPerson_Memo,Dake二人メモ,available,False,False,False,False,False,False,False,,,,,,"x,threads,instagram",original,01_apps/DAKE_TwoPerson_Memo/ORIGINAL.md,False,,generate social_posts.md with tools/release_social.py; generate dry-run social_release.json with tools/release_social.py; x Buffer ID missing; threads Buffer ID missing; instagram Buffer ID missing
DAKE_Video_Shorts_Cut,Dakeショート切り出し,available,False,False,False,False,False,False,False,,,,,,"x,threads,instagram",original,01_apps/DAKE_Video_Shorts_Cut/ORIGINAL.md,False,,generate social_posts.md with tools/release_social.py; generate dry-run social_release.json with tools/release_social.py; x Buffer ID missing; threads Buffer ID missing; instagram Buffer ID missing
DAKE_Wake_Brainz,DAKE_Wake_Brainz,draft,False,False,False,False,False,False,False,,,,,,"x,threads,instagram",readme_fallback,01_apps/DAKE_Wake_Brainz/README.md,True,,original_missing; skipped status=draft
DAKE_Web_Dashboard,DAKE Web Dashboard,frozen,False,False,False,False,False,False,False,,,,,,"x,threads,instagram",readme_fallback,01_apps/DAKE_Web_Dashboard/README.md,True,,original_missing; skipped status=frozen
DAKE_Web_Index,DAKE Web Index,internal,False,False,False,False,False,False,False,,,,,,"x,threads,instagram",readme_fallback,01_apps/DAKE_Web_Index/README.md,True,,original_missing; skipped status=internal
DAKE_Work_Calendar,Dake工程カレンダー,available,False,False,False,False,False,False,False,,,,,,"x,threads,instagram",original,01_apps/DAKE_Work_Calendar/ORIGINAL.md,False,,generate social_posts.md with tools/release_social.py; generate dry-run social_release.json with tools/release_social.py; x Buffer ID missing; threads Buffer ID missing; instagram Buffer ID missing
DAKE_Year_Age,Dake築年数,available,True,True,True,True,True,False,True,complete,,6a2dcbe3adc07817f41488d5,6a2dcbe408bd17e5f3ab748f,6a2dccd261b0aab8c161e18b,"x,threads,instagram",original,01_apps/DAKE_Year_Age/ORIGINAL.md,False,,
DAKE_Year_Notice,Dake今年の注意点,available,False,False,False,False,False,False,False,,,,,,"x,threads,instagram",original,01_apps/DAKE_Year_Notice/ORIGINAL.md,False,,generate social_posts.md with tools/release_social.py; generate dry-run social_release.json with tools/release_social.py; x Buffer ID missing; threads Buffer ID missing; instagram Buffer ID missing
DAKE_Yesterday_Task_Memo,Dake昨日タスクメモ,available,False,False,False,False,False,False,False,,,,,,"x,threads,instagram",original,01_apps/DAKE_Yesterday_Task_Memo/ORIGINAL.md,False,,generate social_posts.md with tools/release_social.py; generate dry-run social_release.json with tools/release_social.py; x Buffer ID missing; threads Buffer ID missing; instagram Buffer ID missing
DAKE_Yukiz_KadouChu,Dakeユキズ稼働中,draft,False,False,False,False,False,False,False,,,,,,"x,threads,instagram",readme_fallback,01_apps/DAKE_Yukiz_KadouChu/README.md,True,,original_missing; skipped status=draft
DAKE_YukizBlog_Post,YUKIZ BLOG 投稿DAKE,internal,False,False,False,False,False,False,False,,,,,,"x,threads,instagram",readme_fallback,01_apps/DAKE_YukizBlog_Post/README.md,True,,original_missing; skipped status=internal
